phase_detector: pfd
fo(VCO_freq_in_Hz): 1.200000e+10
VCO_clock_dutycycle: 0.4000
tauff(sec): 1.0000e-11
tauh(sec): 1.0000e-11
taucp_min(sec): 1.0000e-12
pfd_deadzone(UI): 0.0000
fin(input_freq_in_Hz): 1.000000e+08
feedback_divider: 120
feedback_divider_delay(sec): 0.0000e+00
feedback_divider_clock_duty_cycle: 0.1000
jitter_amp(UIpp): 0.00 UI
Jitter_freqs(Hz): 0.0000e+00
phase0(degrees): 0.00
TSTART(sec): 0.000000e+00
TSTART_jt(sec): 2.000000e-06
TSTOP(sec): 2.000000e-06
deltat(sec): 1.000000e-13
lock_detect_tau(sec): 1.000000e-07
lock_detect_delta_vc_limit(%): 1.000000e-01
lock_detect_rphase_pp_limit(UIpp): 1.500000e-01
lock_detect_rphase_pp_loss_lock_limit(UIpp): 3.000000e-01
number_of_print_points: 5001
phase_freq_step_time(sec): 1.000000e+00
phase_step(sec): 0.0000e+00
freq_step(ppm): 0.0000e+00
ssc_start_time(sec): 1.000000e+00
max_pos_ssc(ppm): 0.00
max_neg_ssc(ppm): 0.00
freq_ssc(Hz): 0.0000e+00
phase_detector_logic_hi(V): 600.000
phase_detector_logic_low(V): -600.000
signal_source_vs1(V): 0.000
signal_source_vs2(V): 0.000
vc_model: poly
vc_polynomial_coeff.(Hz/V): -3.698400e-02,8.702100e-02
vco_bandwidth(Hz): 4.0000e+07
power_supply_max(V): 0.8500
power_supply_min(V): 0.0000
random_noise_sigma(UI_on_fin): 0.0000
RS1(ohms): 1.0000e+12
RS2(ohms): 1.0000e+12
R1(ohms): 1.0000e+06
RZERO(ohms): 1.2000e+04
R3(ohms): 1.0000e+00
C1(farads): 2.4070e-11
C2(farads): 3.6000e-13
initvc(V): 0.2000
Output_base_filename "sample_octave_output_file_v1p76"
Time(s),vpd(V),vs1(V),vs2(V),vc1(V),vc(V),phasein(UI),phaseo(UI),phaseo_delayed(UI),rphase(UI),vc2(V),VIN,CLK,VCO_CLK,CLKIN,freq (ppm from fin),VOUT
1.320000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.956593054202e-01,3.628483994626e-01,0.000000000000e+00,-3.837443434668e-02,-3.837443434668e-02,-3.837443434668e-02,3.628623318875e-01,0,0,0,1,-1.649868690764e+04,0
1.360000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.958802916071e-01,3.480742664082e-01,0.000000000000e+00,-3.901367577521e-02,-3.901367577521e-02,-3.901367577521e-02,3.480869492398e-01,0,0,0,1,-1.550137531017e+04,0
1.400000000002e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.960814576359e-01,3.346252190876e-01,0.000000000000e+00,-3.961738686531e-02,-3.961738686531e-02,-3.961738686530e-02,3.346367644015e-01,0,0,1,1,-1.471672923828e+04,0
1.440000000002e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.962645811682e-01,3.223824111228e-01,0.000000000000e+00,-4.019344341452e-02,-4.019344341452e-02,-4.019344341452e-02,3.223929209423e-01,0,0,0,1,-1.411388997415e+04,0
1.480000000002e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.964312804279e-01,3.112376554169e-01,0.000000000000e+00,-4.074856636472e-02,-4.074856636472e-02,-4.074856636472e-02,3.112472226152e-01,0,0,0,1,-1.366589364117e+04,0
1.520000000002e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.965830285010e-01,3.010924681283e-01,0.000000000000e+00,-4.128846827438e-02,-4.128846827438e-02,-4.128846827438e-02,3.011011772486e-01,0,0,0,0,-1.334921407475e+04,0
1.560000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.967211663530e-01,2.918571983888e-01,0.000000000000e+00,-4.181798255137e-02,-4.181798255137e-02,-4.181798255137e-02,2.918651263918e-01,0,0,1,0,-1.314335700338e+04,0
1.600000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.968469146791e-01,2.834502360790e-01,0.000000000000e+00,-4.234117738491e-02,-4.234117738491e-02,-4.234117738491e-02,2.834574530228e-01,0,0,0,0,-1.303049995187e+04,0
1.640000000000e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.969613846904e-01,2.757972906565e-01,0.000000000000e+00,-4.286145610346e-02,-4.286145610346e-02,-4.286145610346e-02,2.758038603157e-01,0,0,0,0,-1.299517287407e+04,0
1.680000000000e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.970655879343e-01,2.688307346661e-01,0.000000000000e+00,-4.338164549755e-02,-4.338164549755e-02,-4.338164549755e-02,2.688367150953e-01,0,0,1,0,-1.302397505567e+04,0
